bairro_cod,bairro,bairro_area,total_pois,arts_and_culture,education,facilities,financial,healthcare,historic,leisure_and_entertainment,natural,public_places,shops,sustenance,transport,tourism,accomodation,animals,service,zona
83,BOM RETIRO,3.1653052849431997,356.0,15.0,8.0,6.0,5.0,5.0,4.0,53.0,4.0,8.0,85.0,49.0,111.0,0.0,1.0,0.0,2.0,CENTRO
84,BRASILANDIA,15.841003068165168,67.0,5.0,5.0,1.0,0.0,4.0,0.0,37.0,1.0,0.0,4.0,0.0,10.0,0.0,0.0,0.0,0.0,NORTE
85,BUTANTA,9.735088006124316,1188.0,28.0,56.0,82.0,23.0,18.0,3.0,266.0,4.0,10.0,56.0,58.0,548.0,27.0,3.0,3.0,3.0,OESTE
86,CAMPO GRANDE,9.749047689464122,255.0,7.0,5.0,3.0,5.0,7.0,0.0,111.0,7.0,5.0,45.0,9.0,45.0,2.0,1.0,0.0,3.0,SUL
87,CANGAIBA,12.51568078096239,282.0,6.0,7.0,35.0,3.0,5.0,1.0,128.0,9.0,3.0,16.0,10.0,52.0,5.0,0.0,0.0,2.0,LESTE
88,CIDADE TIRADENTES,11.295617718389595,196.0,48.0,13.0,4.0,0.0,2.0,2.0,94.0,0.0,2.0,15.0,8.0,7.0,0.0,0.0,0.0,1.0,LESTE
89,CONSOLACAO,2.8706739303699105,901.0,15.0,26.0,4.0,33.0,18.0,1.0,125.0,9.0,10.0,136.0,152.0,322.0,3.0,30.0,4.0,13.0,CENTRO
90,CURSINO,9.060230358803002,423.0,10.0,13.0,15.0,11.0,8.0,1.0,95.0,16.0,5.0,39.0,33.0,52.0,121.0,0.0,3.0,1.0,SUL
91,JAGUARE,4.9041124838536545,118.0,0.0,4.0,0.0,0.0,1.0,0.0,51.0,0.0,0.0,12.0,2.0,45.0,0.0,3.0,0.0,0.0,OESTE
92,JARAGUA,21.268197641004164,211.0,2.0,15.0,16.0,8.0,6.0,1.0,56.0,5.0,7.0,37.0,8.0,42.0,5.0,1.0,0.0,2.0,NORTE
93,JARDIM HELENA,6.909353360638057,60.0,2.0,8.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,2.0,0.0,23.0,1.0,0.0,0.0,0.0,LESTE
94,JARDIM PAULISTA,4.654819132485766,1738.0,12.0,25.0,11.0,63.0,48.0,7.0,208.0,0.0,18.0,265.0,264.0,747.0,7.0,32.0,2.0,29.0,OESTE
95,JARDIM SAO LUIS,19.58904150220343,385.0,11.0,40.0,5.0,5.0,17.0,0.0,159.0,0.0,9.0,61.0,10.0,53.0,1.0,3.0,4.0,7.0,SUL
